review_id,review,sentiment_label,rating,review_title,date_time,app_name,country,app_market_place,clean_review
0,"It really gets on my nerves when an app keep sending me unrelated or irrelevant notifications to get me to keep using the app more often, like what do 'a random friend uploaded a photo', 'a random friend just went live' and 'a random friend posted a status' have anything to do with me??",0,1,Stop sending me unrelated notifications and let your app in memory a little longer,12/5/2019 8:56,Facebook,Malaysia,Apple App Store,"['realli', 'get', 'nerv', 'app', 'keep', 'send', 'unrel', 'irrelev', 'notif', 'get', 'keep', 'use', 'app', 'often', 'like', 'random', 'friend', 'upload', 'photo', 'random', 'friend', 'went', 'live', 'random', 'friend', 'post', 'statu', 'anyth']"
0,Why do you keep sending me this type of notification when I've already disabled it?,0,1,Stop sending me unrelated notifications and let your app in memory a little longer,12/5/2019 8:56,Facebook,Malaysia,Apple App Store,"['keep', 'send', 'type', 'notif', 'alreadi', 'disabl']"
0,"Secondly, please keep your app running in the background and let it reside in the memory a little longer.",0,1,Stop sending me unrelated notifications and let your app in memory a little longer,12/5/2019 8:56,Facebook,Malaysia,Apple App Store,"['secondli', 'pleas', 'keep', 'app', 'run', 'background', 'let', 'resid', 'memori', 'littl', 'longer']"
0,"It's so frustrating when the app refreshes and starts a new session and you lose your place, be it in an article you were reading or a comment thread.",0,1,Stop sending me unrelated notifications and let your app in memory a little longer,12/5/2019 8:56,Facebook,Malaysia,Apple App Store,"['frustrat', 'app', 'refresh', 'start', 'new', 'session', 'lose', 'place', 'articl', 'read', 'comment', 'thread']"
0,Browsed Facebook for 10 minutes > found something worth reading > switched to another app > jumped back into Facebook 5 minutes later > the app refreshed and you had to scroll down and search for the content all over again.,0,1,Stop sending me unrelated notifications and let your app in memory a little longer,12/5/2019 8:56,Facebook,Malaysia,Apple App Store,"['brows', 'facebook', 'minut', 'found', 'someth', 'worth', 'read', 'switch', 'anoth', 'app', 'jump', 'back', 'facebook', 'minut', 'later', 'app', 'refresh', 'scroll', 'search', 'content']"
0,Yes there's a 'Save' feature but it's pretty pointless when you had to do important IRL stuff and forgot to save whatever content you were reading.,0,1,Stop sending me unrelated notifications and let your app in memory a little longer,12/5/2019 8:56,Facebook,Malaysia,Apple App Store,"['ye', 'save', 'featur', 'pretti', 'pointless', 'import', 'irl', 'stuff', 'forgot', 'save', 'whatev', 'content', 'read']"
1,Ads really ruin the experience while watching a video.,0,3,Ads and links.,23/5/2019 16:14,Facebook,Malaysia,Apple App Store,"['ad', 'realli', 'ruin', 'experi', 'watch', 'video']"
1,"I understand that video creators would like to earn money from video they posted, but putting them in the middle of the videos just ruin the experience.",0,3,Ads and links.,23/5/2019 16:14,Facebook,Malaysia,Apple App Store,"['understand', 'video', 'creator', 'would', 'like', 'earn', 'money', 'video', 'post', 'put', 'middl', 'video', 'ruin', 'experi']"
1,"Every time when I am in the middle of the video and the ads comes in, I immediately leave the post and just move on, no matter how interesting that video is.",0,3,Ads and links.,23/5/2019 16:14,Facebook,Malaysia,Apple App Store,"['everi', 'time', 'middl', 'video', 'ad', 'come', 'immedi', 'leav', 'post', 'move', 'matter', 'interest', 'video']"
1,"So, in order for them to earn money, I suggest the ads just put below their caption, or particularly on their page timeline.",0,3,Ads and links.,23/5/2019 16:14,Facebook,Malaysia,Apple App Store,"['order', 'earn', 'money', 'suggest', 'ad', 'put', 'caption', 'particularli', 'page', 'timelin']"
1,Another problem about fb is the link.,0,3,Ads and links.,23/5/2019 16:14,Facebook,Malaysia,Apple App Store,"['anoth', 'problem', 'fb', 'link']"
1,"Nowadays when I receive a fb link from my friends on other platform and I click on the link, it just leads me to fb home page, or the last page I was at when I last used fb, it doesn’t directly go to the link I click.",0,3,Ads and links.,23/5/2019 16:14,Facebook,Malaysia,Apple App Store,"['nowaday', 'receiv', 'fb', 'link', 'friend', 'platform', 'click', 'link', 'lead', 'fb', 'home', 'page', 'last', 'page', 'last', 'use', 'fb', '’', 'directli', 'go', 'link', 'click']"
1,"I did find another way to click into the link, which is to copy the link and paste it on safari and go.",0,3,Ads and links.,23/5/2019 16:14,Facebook,Malaysia,Apple App Store,"['find', 'anoth', 'way', 'click', 'link', 'copi', 'link', 'past', 'safari', 'go']"
1,It’s very troublesome and I believe it’s bug to be fixed soon.,0,3,Ads and links.,23/5/2019 16:14,Facebook,Malaysia,Apple App Store,"['’', 'troublesom', 'believ', '’', 'bug', 'fix', 'soon']"
1,I like using fb but I believe the user experience can be improved tremendously just by fixing the bugs I mentioned above.,0,3,Ads and links.,23/5/2019 16:14,Facebook,Malaysia,Apple App Store,"['like', 'use', 'fb', 'believ', 'user', 'experi', 'improv', 'tremend', 'fix', 'bug', 'mention']"
