,review_id,review,rating,review_title,date_time,app_name,country,app_market_place,predicted_sentiment,video,like,bug,photo,theme,bias,version,font,screen_smoothess,conversation,user_support,hotspot,connection,search_function,advertisement,voting_function,voice/video_call,notification,scam,post,media,tracking_algorithm,account,entertainment,security,dating,dislike,audio,storage,sticker,battery,game
0,0,"It really gets on my nerves when an app keep sending me unrelated or irrelevant notifications to get me to keep using the app more often, like what do 'a random friend uploaded a photo', 'a random friend just went live' and 'a random friend posted a status' have anything to do with me??",1,Stop sending me unrelated notifications and let your app in memory a little longer,12/5/2019 8:56,Facebook,Malaysia,Apple App Store,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,Why do you keep sending me this type of notification when I've already disabled it?,1,Stop sending me unrelated notifications and let your app in memory a little longer,12/5/2019 8:56,Facebook,Malaysia,Apple App Store,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,"Secondly, please keep your app running in the background and let it reside in the memory a little longer.",1,Stop sending me unrelated notifications and let your app in memory a little longer,12/5/2019 8:56,Facebook,Malaysia,Apple App Store,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,"It's so frustrating when the app refreshes and starts a new session and you lose your place, be it in an article you were reading or a comment thread.",1,Stop sending me unrelated notifications and let your app in memory a little longer,12/5/2019 8:56,Facebook,Malaysia,Apple App Store,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,Browsed Facebook for 10 minutes > found something worth reading > switched to another app > jumped back into Facebook 5 minutes later > the app refreshed and you had to scroll down and search for the content all over again.,1,Stop sending me unrelated notifications and let your app in memory a little longer,12/5/2019 8:56,Facebook,Malaysia,Apple App Store,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,Yes there's a 'Save' feature but it's pretty pointless when you had to do important IRL stuff and forgot to save whatever content you were reading.,1,Stop sending me unrelated notifications and let your app in memory a little longer,12/5/2019 8:56,Facebook,Malaysia,Apple App Store,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,Ads really ruin the experience while watching a video.,3,Ads and links.,23/5/2019 16:14,Facebook,Malaysia,Apple App Store,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,"I understand that video creators would like to earn money from video they posted, but putting them in the middle of the videos just ruin the experience.",3,Ads and links.,23/5/2019 16:14,Facebook,Malaysia,Apple App Store,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,"Every time when I am in the middle of the video and the ads comes in, I immediately leave the post and just move on, no matter how interesting that video is.",3,Ads and links.,23/5/2019 16:14,Facebook,Malaysia,Apple App Store,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,"So, in order for them to earn money, I suggest the ads just put below their caption, or particularly on their page timeline.",3,Ads and links.,23/5/2019 16:14,Facebook,Malaysia,Apple App Store,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
